index	left	right	given	chi^2	p	dof	Holm–Bonferroni level	flagged
74	hgnc:11778	hgnc:6364	hgnc:11768	0.0	0		0.025	True
75	hgnc:11138	hgnc:11768	hgnc:11778|hgnc:6364	0.0	0		0.016666666666666666	True
75	hgnc:11778	hgnc:6364	hgnc:11768	0.0	0		0.025	True
76	hgnc:11817	hgnc:4852	hgnc:16953|hgnc:6349	0.0	0		0.016666666666666666	True
76	hgnc:16953	hgnc:6349	hgnc:4852	0.0	0		0.025	True
77	hgnc:11817	hgnc:4852	hgnc:16953|hgnc:6349	0.0	0		0.016666666666666666	True
77	hgnc:16953	hgnc:6349	hgnc:4852	0.0	0		0.025	True
78	hgnc:11850	hgnc:9445	hgnc:259|hgnc:9644	0.0	0		0.016666666666666666	True
78	hgnc:259	hgnc:9644	hgnc:9445	0.0	0		0.025	True
79	hgnc:11898	hgnc:5464	hgnc:5208	0.0	0		0.016666666666666666	True
79	hgnc:11926	hgnc:5208	hgnc:11898|hgnc:5464	0.0	0		0.025	True
80	hgnc:12517	hgnc:6667	hgnc:12428|hgnc:4261	0.0	0		0.016666666666666666	True
80	hgnc:12428	hgnc:4261	hgnc:6667	0.0	0		0.025	True
81	hgnc:12692	hgnc:2333	hgnc:3818|hgnc:5962	0.0	0		0.016666666666666666	True
81	hgnc:3818	hgnc:5962	hgnc:2333	0.0	0		0.025	True
82	hgnc:14005	hgnc:5981	hgnc:10617|hgnc:11517	0.0	0		0.016666666666666666	True
82	hgnc:10617	hgnc:11517	hgnc:5981	0.0	0		0.025	True
83	hgnc:259	hgnc:30932	hgnc:11329	0.0	0		0.016666666666666666	True
83	hgnc:11329	hgnc:1504	hgnc:259|hgnc:30932	0.0	0		0.025	True
84	hgnc:11329	hgnc:1504	hgnc:11652|hgnc:259	0.0	0		0.016666666666666666	True
84	hgnc:11652	hgnc:259	hgnc:11329	0.0	0		0.025	True
85	hgnc:1511	hgnc:8743	hgnc:3113|hgnc:7225	0.0	0		0.016666666666666666	True
85	hgnc:3113	hgnc:7225	hgnc:8743	0.0	0		0.025	True
86	hgnc:12441	hgnc:16400	hgnc:11920|hgnc:1514	0.0	0		0.016666666666666666	True
86	hgnc:11920	hgnc:1514	hgnc:12441	0.0	0		0.025	True
87	hgnc:12441	hgnc:16400	hgnc:11237|hgnc:11920	0.0	0		0.016666666666666666	True
87	hgnc:11237	hgnc:11920	hgnc:12441	0.0	0		0.025	True
88	hgnc:1667	hgnc:8537	hgnc:11919|hgnc:16642	0.0	0		0.016666666666666666	True
88	hgnc:11919	hgnc:16642	hgnc:8537	0.0	0		0.025	True
