Cause	Effect	Regulators	Mediators
b1988	b2538		b2537
b1988	b1634	b0889	b3516
b1988	b1584		b3516
b1988	b1583		b3516
b1988	b1497		b3516
b1988	b1498	b0889	b3516
b1988	b3967		b3516
b1988	b3966		b3516
b1988	b1333	b0889	b3516
b1988	b3507		b3516
b1988	b3506		b3516
b1988	b3515	b0889	b3516
b1988	b4452	b0889	b3516
b1988	b4718		b3516
b1988	b3514		b3516
b1988	b3513		b3516
b1988	b3512		b3516
b1988	b0486		b3516
b1988	b0485		b3516
b1988	b0674	b0889	b3516
b1988	b3511		b3516
b1988	b4131	b0889	b3516
b1988	b4132	b0889	b3516
b1988	b1237		b3516
b1988	b2741	b0683	b3516
b1988	b0439		b3516
b1988	b3517		b3516
b1988	b1492		b3516
b1988	b1493	b0889	b3516
b1988	b0451	b0683 // b3868	b3516
b1988	b0450	b0683 // b0889 // b3868	b3516
b1988	b3508	b0889	b3516
b1988	b3509	b0889	b3516
b1988	b3510	b0889	b3516
b1988	b4057	b0889	b3512
b1988	b4056	b0889	b3512
b1988	b3508	b0889	b3512
b1988	b3509	b0889	b3512
b1988	b3510	b0889	b3512
b1988	b1923		b3512
b1988	b3515	b1334 // b0889	b3512
b1988	b0181		b3512
b1988	b0180		b3512
b1988	b0179		b3512
b1988	b0178		b3512
b1988	b4177		b3512
b1988	b3511		b3512
b1988	b2029	b1334 // b0683	b3512
b1988	b4718		b3512
b1988	b3514		b3512
b1988	b3513		b3512
b1988	b0428	b1334 // b0683	b3512
b1988	b0429	b1334 // b0683	b3512
b1988	b0430	b1334 // b0683	b3512
b1988	b0431	b1334 // b0683	b3512
b1988	b0432	b1334 // b0683	b3512
b1988	b1951		b3512
b1988	b3212	b1334 // b0683 // b0889	b3512
b1988	b3213	b1334 // b0683 // b0889	b3512
b1988	b3214	b1334 // b0683 // b0889	b3512
b1988	b0889		b3512
b1988	b1492		b3512
b1988	b1493	b0889	b3512
b1988	b3491	b0889	b3512
b1988	b3800		b3512
b1988	b3507		b3512
b1988	b3506		b3512
b1988	b4131	b0889	b3512
b1988	b4132	b0889	b3512
b1988	b4115		b3512
b1988	b3516	b1334	b3512
b1988	b3517	b1334	b3512
b1988	b2083		b2369
b1988	b2085		b2369
b1988	b2371		b2369
b1988	b2372		b2369
b1988	b2373		b2369
b1988	b2375		b2369
b1988	b2374		b2369
b1988	b1501		b2369
b1988	b1499		b2369
b1988	b1500		b2369
b1988	b2367	b1334	b2369
b1988	b2368	b1334	b2369
b1988	b4718		b2369
b1988	b3514		b2369
b1988	b3513		b2369
b1988	b3512		b2369
b1988	b2370		b2369
b1988	b2470		b2369
b1988	b2616		b3702
b1988	b0779		b3702
b1988	b4670		b3702
b1988	b1415	b1334	b3702
b1988	b2507		b3702
b1988	b2508		b3702
b1988	b3461		b3702
b1988	b3863	b0889	b3702
b1988	b3700		b3702
b1988	b3701		b3702
b1988	b2236		b3702
b1988	b2234		b3702
b1988	b2235		b3702
b1988	b0225		b0226
b1988	b0623		b0226
b1988	b1198		b1201
b1988	b1199		b1201
b1988	b1200	b0889	b1201
b1988	b0339		b0338
b1988	b0340		b0338
b1988	b0341		b0338
b1988	b2787		b0162
b1988	b2788		b0162
b1988	b2789		b0162
b1988	b3128	b1334	b0162
b1988	b3123	b1334 // b0683	b0162
b1988	b3124	b1334 // b0683	b0162
b1988	b3125	b1334 // b0683	b0162
b1988	b3126	b1334 // b0683	b0162
b1988	b3127	b1334 // b0683	b0162
b1988	b0044		b0034
b1988	b0043		b0034
b1988	b0042		b0034
b1988	b0041		b0034
b1988	b0035		b0034
b1988	b0036		b0034
b1988	b0037		b0034
b1988	b0038		b0034
b1988	b0039		b0034
b1988	b0040		b0034
b1988	b0504		b0506
b1988	b0505		b0506
b1988	b0514		b0506
b1988	b0513		b0506
b1988	b0512		b0506
b1988	b0511		b0506
b1988	b0509		b0506
b1988	b0508		b0506
b1988	b0507		b0506
b1988	b4471	b1334	b3119
