Effect	Mediator	Causes	Regulators
EG11155	EG10319	EG10820 // EG10672 // EG11356	EG10320 // G7072
EG11154	EG10319	EG10820 // EG10672 // EG11356	EG10320 // G7072
EG10114	EG11554	EG10457 // EG10547	G7072 // EG10317
EG10357	G7826	EG10325 // EG10164	EG10317 // EG10359 // EG10061
EG10456	EG10325	EG10441 // EG10440	EG11212 // EG10230
G6619	EG10325	EG10359 // EG10441 // EG10440	EG10230 // EG10164
EG10908	EG10325	EG10359 // EG10441 // EG10440	EG10230 // EG10164
EG10874	EG10325	EG10359 // EG10441 // EG10440	EG10230 // EG10164
EG10754	EG10325	EG10359 // EG10440	EG11212 // EG10681 // EG10958
G6456	EG10325	EG10359 // EG10440	EG11212 // EG10681
G6457	EG10325	EG10359 // EG10440	EG11212 // EG10681
EG11272	EG10325	EG10441 // EG10440	EG11212 // EG10230
EG10881	EG10325	EG10441 // EG10440	EG11212 // EG10230
EG10024	EG10325	EG10359 // EG10440	EG11212 // EG10164
EG10025	EG10325	EG10359 // EG10440	EG11212 // EG10164
