TF	Target	Regulation
b0846	b0844	-
b0846	b0845	-
b0846	b0844	-
b0447	b3110	+
b0447	b4470	+
b3105	b0802	+
b3357	b4305	+
b3357	b4565	+
b3357	b4304	+
b3357	b4303	+
b3357	b4302	+
b3357	b4301	+
b3357	b4300	+
b1642	b4305	-
b1642	b4565	-
b1642	b4304	-
b1642	b4303	-
b1642	b4302	-
b1642	b4301	-
b1642	b4300	-
b1642	b4305	-
b1642	b4565	-
b1642	b4304	-
b1642	b4303	-
b1642	b4302	-
b1642	b4301	-
b1642	b4300	-
b1716	b1716	-
b1716	b1717	-
b1988	b1689	+
b3357	b2844	+
b1988	b4207	-
b1988	b2795	-
b4202	b4200	-
b4202	b4201	-
b4202	b4202	-
b4202	b4203	-
b4200	b4200	-
b4200	b4201	-
b4200	b4202	-
b4200	b4203	-
b0064	b4231	-
b0064	b4230	-
